Mentor Name,Phone Number,Email ID,Students Assigned
Mentor E - Rao,7248086131,mentor.raoe@example.com,8
Mentor E - Reddy,9127484677,mentor.reddye@example.com,13
Mentor E - Shah,7782639821,mentor.shahe@example.com,13
Mentor E - Sharma,8658404499,mentor.sharmae@example.com,12
Mentor E - Singh,9278755886,mentor.singhe@example.com,16
Mentor E - Trivedi,9533963605,mentor.trivedie@example.com,13
Mentor E - Verma,9662702895,mentor.vermae@example.com,16
Mentor F - Bhatt,6718702621,mentor.bhattf@example.com,9
Mentor F - Chauhan,9459615865,mentor.chauhanf@example.com,19
Mentor F - Desai,9809134316,mentor.desaif@example.com,13
Mentor F - Gupta,6172400504,mentor.guptaf@example.com,11
Mentor F - Iyer,8562386922,mentor.iyerf@example.com,8
Mentor F - Joshi,7196937923,mentor.joshif@example.com,16
Mentor F - Kapoor,9474074821,mentor.kapoorf@example.com,7
Mentor F - Kulkarni,9594647436,mentor.kulkarnif@example.com,15
Mentor F - Malhotra,9136959440,mentor.malhotraf@example.com,11
Mentor F - Mehta,9409097439,mentor.mehtaf@example.com,12
Mentor F - Nair,8339421047,mentor.nairf@example.com,8
Mentor F - Pandey,6952145623,mentor.pandeyf@example.com,11
Mentor F - Patel,7858842474,mentor.patelf@example.com,16
Mentor F - Rao,8171236851,mentor.raof@example.com,19
Mentor F - Reddy,9048175496,mentor.reddyf@example.com,12
Mentor F - Shah,8137098593,mentor.shahf@example.com,16
Mentor F - Sharma,6746120047,mentor.sharmaf@example.com,6
Mentor F - Singh,6138267586,mentor.singhf@example.com,10
Mentor F - Trivedi,7617964053,mentor.trivedif@example.com,8
Mentor F - Verma,9735158506,mentor.vermaf@example.com,12
Mentor G - Bhatt,8317139005,mentor.bhattg@example.com,14
Mentor G - Chauhan,7293183933,mentor.chauhang@example.com,14
Mentor G - Desai,8290422842,mentor.desaig@example.com,25
Mentor G - Gupta,6020539502,mentor.guptag@example.com,15
Mentor G - Iyer,8026811775,mentor.iyerg@example.com,13
Mentor G - Joshi,6783908470,mentor.joshig@example.com,10
Mentor G - Kapoor,6766177115,mentor.kapoorg@example.com,9
Mentor G - Kulkarni,7124998569,mentor.kulkarnig@example.com,14
Mentor G - Malhotra,8789611836,mentor.malhotrag@example.com,12
Mentor G - Mehta,9365766156,mentor.mehtag@example.com,11
Mentor G - Nair,8452711116,mentor.nairg@example.com,8
Mentor G - Pandey,6528098851,mentor.pandeyg@example.com,16
Mentor G - Patel,9560494519,mentor.patelg@example.com,15
Mentor G - Rao,7273158514,mentor.raog@example.com,6
Mentor G - Reddy,7689980940,mentor.reddyg@example.com,10
Mentor G - Shah,7445502296,mentor.shahg@example.com,16
Mentor G - Sharma,6201836675,mentor.sharmag@example.com,14
Mentor G - Singh,7545991022,mentor.singhg@example.com,15
Mentor G - Trivedi,6147679764,mentor.trivedig@example.com,15
Mentor G - Verma,7815614978,mentor.vermag@example.com,14
Mentor H - Bhatt,8036900343,mentor.bhatth@example.com,11
Mentor H - Chauhan,7445107622,mentor.chauhanh@example.com,14
Mentor H - Desai,9838851606,mentor.desaih@example.com,15
Mentor H - Gupta,6715969664,mentor.guptah@example.com,5
Mentor H - Iyer,6605297516,mentor.iyerh@example.com,9
Mentor H - Joshi,6369681645,mentor.joshih@example.com,14
Mentor H - Kapoor,7521818835,mentor.kapoorh@example.com,5
Mentor H - Kulkarni,8231243292,mentor.kulkarnih@example.com,14
Mentor H - Malhotra,6277997995,mentor.malhotrah@example.com,20
Mentor H - Mehta,8271774490,mentor.mehtah@example.com,14
Mentor H - Nair,8814770054,mentor.nairh@example.com,11
Mentor H - Pandey,6199867980,mentor.pandeyh@example.com,13
Mentor H - Patel,9935978207,mentor.patelh@example.com,10
Mentor H - Rao,6518203778,mentor.raoh@example.com,10
Mentor H - Reddy,7554665905,mentor.reddyh@example.com,13
Mentor H - Shah,6518644925,mentor.shahh@example.com,17
Mentor H - Sharma,6925462914,mentor.sharmah@example.com,14
Mentor H - Singh,9528168505,mentor.singhh@example.com,13
Mentor H - Trivedi,8235733221,mentor.trivedih@example.com,6
Mentor H - Verma,8188805929,mentor.vermah@example.com,18
